2, 3, 5, 9, 17, 33, 65, 129, 257, 513, 1025, 2049, 4097, 8193, 16385, 32769, 65537, 131073, 262145, 524289, 1048577, 
3, 4, 6, 10, 18, 34, 66, 130, 258, 514, 1026, 2050, 4098, 8194, 16386, 32770, 65538, 131074, 262146, 524290, 1048578, 
5, 6, 8, 12, 20, 36, 68, 132, 260, 516, 1028, 2052, 4100, 8196, 16388, 32772, 65540, 131076, 262148, 524292, 1048580, 
9, 10, 12, 16, 24, 40, 72, 136, 264, 520, 1032, 2056, 4104, 8200, 16392, 32776, 65544, 131080, 262152, 524296, 1048584, 
17, 18, 20, 24, 32, 48, 80, 144, 272, 528, 1040, 2064, 4112, 8208, 16400, 32784, 65552, 131088, 262160, 524304, 1048592, 
33, 34, 36, 40, 48, 64, 96, 160, 288, 544, 1056, 2080, 4128, 8224, 16416, 32800, 65568, 131104, 262176, 524320, 1048608, 
65, 66, 68, 72, 80, 96, 128, 192, 320, 576, 1088, 2112, 4160, 8256, 16448, 32832, 65600, 131136, 262208, 524352, 1048640, 
129, 130, 132, 136, 144, 160, 192, 256, 384, 640, 1152, 2176, 4224, 8320, 16512, 32896, 65664, 131200, 262272, 524416, 1048704, 
257, 258, 260, 264, 272, 288, 320, 384, 512, 768, 1280, 2304, 4352, 8448, 16640, 33024, 65792, 131328, 262400, 524544, 1048832, 
513, 514, 516, 520, 528, 544, 576, 640, 768, 1024, 1536, 2560, 4608, 8704, 16896, 33280, 66048, 131584, 262656, 524800, 1049088, 
1025, 1026, 1028, 1032, 1040, 1056, 1088, 1152, 1280, 1536, 2048, 3072, 5120, 9216, 17408, 33792, 66560, 132096, 263168, 525312, 1049600, 
2049, 2050, 2052, 2056, 2064, 2080, 2112, 2176, 2304, 2560, 3072, 4096, 6144, 10240, 18432, 34816, 67584, 133120, 264192, 526336, 1050624, 
4097, 4098, 4100, 4104, 4112, 4128, 4160, 4224, 4352, 4608, 5120, 6144, 8192, 12288, 20480, 36864, 69632, 135168, 266240, 528384, 1052672, 
8193, 8194, 8196, 8200, 8208, 8224, 8256, 8320, 8448, 8704, 9216, 10240, 12288, 16384, 24576, 40960, 73728, 139264, 270336, 532480, 1056768, 
16385, 16386, 16388, 16392, 16400, 16416, 16448, 16512, 16640, 16896, 17408, 18432, 20480, 24576, 32768, 49152, 81920, 147456, 278528, 540672, 1064960, 
32769, 32770, 32772, 32776, 32784, 32800, 32832, 32896, 33024, 33280, 33792, 34816, 36864, 40960, 49152, 65536, 98304, 163840, 294912, 557056, 1081344, 
65537, 65538, 65540, 65544, 65552, 65568, 65600, 65664, 65792, 66048, 66560, 67584, 69632, 73728, 81920, 98304, 131072, 196608, 327680, 589824, 1114112, 
131073, 131074, 131076, 131080, 131088, 131104, 131136, 131200, 131328, 131584, 132096, 133120, 135168, 139264, 147456, 163840, 196608, 262144, 393216, 655360, 1179648, 
262145, 262146, 262148, 262152, 262160, 262176, 262208, 262272, 262400, 262656, 263168, 264192, 266240, 270336, 278528, 294912, 327680, 393216, 524288, 786432, 1310720, 
524289, 524290, 524292, 524296, 524304, 524320, 524352, 524416, 524544, 524800, 525312, 526336, 528384, 532480, 540672, 557056, 589824, 655360, 786432, 1048576, 1572864, 
1048577, 1048578, 1048580, 1048584, 1048592, 1048608, 1048640, 1048704, 1048832, 1049088, 1049600, 1050624, 1052672, 1056768, 1064960, 1081344, 1114112, 1179648, 1310720, 1572864, 2097152, 
